,Sentiment,reviewBody
1867,0,90% of the time Target always has what I am looking for.
666,0,"I absolutely wish I could give Target a lower than one star! I tried for hours to log into my account to purchase  items and NO MATTER WHAT I DID it kept saying password wrong and would send new password. However after a rather long wait, when put that new password emailed to me, it said invalid password time and time and time again. Then it said account locked and to ask for a new password which again and again said was not valid when I tried it. I don’t know who manages online sales there but I never had such a frustrating experience with ordering items. I will NEVER EVER try this again and good luck to anyone who does."
783,0,"My experience at Target was very Good 💯 I wanted Cashback because I needed $5 more to send a package by FedEx. I went to Target before I reached the line a Cashier asked if she could help Me? She assisted me and was very helpful , nice, Polite and Professional."
1570,0,"I will not support racism, and Target is just showing its support for racist people."
2451,0,Ordered a gift for someone had a two-day free ship. It has now been 10 and my gift is sitting at a UPS hub in South Carolina and been there for a week. I called last night and was told they will look into it and get back to me in 24 hours. This is the second time they have failed me with shipment dates. Back to Amazon they never fail me!
2344,0,"Horrible customer service at Target in Glendale, AZ 43rd ave and Peoria they are racist and make you wait longer if you are not white. I went there for a exchange of my baby shirts there is a lady named Annie she is very rude and not friendly she also count the shirts to see if they were complete."
2147,0,"Ordered a gift card online last Thursday. Today is Monday, still hasn't shown up so I just requested an immediate credit. I've spent 4 hours in 3 different phone calls, chat sessions trying to get this resolved with no luck. In the day and age of technology, why does it take 24-48 hours to re-issue an electronic gift card??? Sheesh, never again, they are not worth my time. There's plenty of other stores out there."
1904,0,"Sadly, I don't always expect good customer service from large companies like Target, but I was pleasantly surprised when I called their main customer service number. I ended up speaking with three people, all of whom were helpful and kind. The most I had to wait on the line was a couple of minutes, and the last lady I spoke with went above and beyond. I called in to give some feedback regarding an experience I had in my local store, and she did some checking to make sure the situation was completely resolved (which I wasn't even asking for). The slightly negative experience I had in the store was more than made up for by how I was treated by the corporate customer service. They didn't make me feel like my feedback was just going to be ""passed on"" (ie, thrown away), so thank you!"
457,2,Thank yall for sending replacements and giving refunds for missing products
164,0,Andre helped me and deserves kudos!   3 other employees sent me all around the store for shoe laces. Go Andre
431,0,"I love Target. As you enter in the store you feel welcome, the store is well organized. My favorite line is the vegetables, always fresh and beautiful. Another part I like is the home cleaning products which are not expensive, and you get everything there. I recommend Target to everyone of my family and friends. You go there and walk around and your chopping car will be full of different merchandise. Recommended."
293,0,"Target has banned me from ordering online @ Target.com. They stated that it is due to an ""irregularity"" which they are unwilling to clarify due to ""security reasons."" They responded to a Better Business Bureau complaint by stating that ""We apologize for any disappointment, but due to an irregularity with their orders; we’re unable to offer a different resolution.""I am concerned that if left unresolved, their improper handling of this ""irregularity"" may negatively impact me personally, possibly impacting my good standings with other retailers, or maybe even my currently excellent credit score."
172,0,I will not support this devil worshiping store
1248,0,"I really enjoy shopping at Target. They have excellent customer service, superb pricing of their items and selection is just right. I normally purchase just my tights and leggings from Target because of all the styles they have and the pricing of them. Plus the tights and leggings I get from Target meet my beautiful, wonderful, perfect mistress owner Goddess Mia's approval for my female latex vampire slave outfit and they make the perfect accessory for it too. Whenever my beloved mistress owner Goddess Mia is happy, I am so very happy too. Thank you so much Target. :)"
109,0,"I'm boycotting Target for targeting our children with their transgender display of clothing. This is satanic grooming. Target, I don't need you, my children don't need you either."
535,0,"I used to like Target, but today was the final straw when I saw the dog gay pride apparel!! You want to be gay, that's fine, but don't shove it down my throat. Really??? Dog gay pride apparel"
2508,0,They have the worst customer service I have ever experienced. My experience is so lengthy that I’m not even going to type it up. I will never shop Target online ever again. They clearly do not have a good understanding of what customer service is and based on other reviews I’ve read I’m not alone.
446,0,"If I could rate lower I would.  Ordered phone on 25th said it would arrive on 28th. Didn't leave Target.com til 28th. Been thru PA, OH,IL, MN, ND, MT WA to portland & stuck in Troutdale due to weather.Been told every day would arrive, now it's tomorrow  due to weather, no weather in OREGON. Target unresponsive, specialist hung up on me, 4th person (not supervisor I asked for) ran me around even more. Horrible customer service. Will never order on line from  them again."
739,0,"Returned an item for exchange at the Cedar Park, TX location.  Was given a gift card for my return.  However, at check out the gift card and my exchange (for the same item) didn't add up.  Customer service was no help.  I was told it was correct!  No it was not!!  DO NOT ACCEPT A GIFT CARD ON A RETURN.  IF YOU USE YOUR RED CARD, YOU WILL NOT GET YOUR DISCOUNT!!!!!!"
2378,0,"When making an order it gives you the shipping date so I purchased expedited shipping to get my order before Christmas.  I ONLY did this because items were going to arrive after Christmas and the date changed to plenty of time before with the extra $10. Then two separate times they email me in the middle of the night to say there's a delay.  Like they think I won't see it if they send the email at 2am.  And of course it's the items I paid expedited shipping for.When I went to chat with someone I asked the rep why I'm paying for expedited shipping if I'm not getting it and instead of offering a solution they just went on a long multi message drone about how but if you're going to make people pay for expedited shipping and then delay their order it should be automatically refunded.  And if you can't give a shipping date then give a business day range. They also don't charge until they ship, so my pending charge was correct and then it f*ked up my bank account when the rest of my order didn't ship because they do not notify you of this."
2083,0,I did not like there prices and there r not any tagates left they r really bad
295,0,Ordered from their website and they haven't shipped out yet it's been over 2 days. Other companies ship out like the next day. I email target to see what's going on and they send 1 generic reply and never respond again. Their stores near me are always trashed too. Used to be a good company and nice spot to shop at but their quality of service has gone way downhill. I don't recommend target.
487,0,"I got a gift card and decided to use it for underwear. They sent the wrong size the first time, the second time and the third time they said they won't send me any more. It's THEIR mistake and they were blaming me. I'll NEVER shop at  target again. My opinion is they rate less than 0 stars"
805,0,"Target is a fraud when it comes to gift cards. I bought a gift card from them that stating Target e gift card on May 8th for mothers days. Never got it. once I received a link, my mom went to use it and was told she could not use it at target and can be used only at a restaurant.That is not what she wanted. Long story short they would not honor it as a target card or even refund the money 100$. worst con job ever! It is now June 22 with no resolution."
2297,0,Horrible as far as a employer goes. I work at the horn lake location over two years as a cashier. New management came trained from different stores and quickly became cut throat. I've seen so many cashiers laid off due to gift cards. And excused of stealing but there not trained enough to know what to do in the event some get left behind. If you don't train cashiers what the hell do you expect them to do when they are not trained or tuaght what to do. Ive seen multiple cashiers arrested for this. But you dumb young people hired in from other stores that ain't trained them selves to be any kind of superviser. It's do redicoulus. Once our wonderful Karen retired they hired dumb 20 yrs old since that abuse thier power.  And treat employees horribly. I'm so blessed to have found a wonderful company to work for since. I just feel sorry for the people that are still hanging on there at Target. It will not improve
909,0,Not shopping at Target anymore.  Too much involvment in racial equity/equality..  Most of online ads project black models.  Website is full of black this and black that.  Enough.
778,0,"Tsk, tsk Target. Went to my local Target store to return two cell phones I purchased online.  One box was sealed the other was opened but I was charged a 'restocking fee' of $37.99 PLUS tax on each. Apparently this policy was implemented a few months ago.Some friendly advice to the bigshots at Target...this new, exhorbitant ""restocking"" fee the brain surgeons over in corporate implemented will only serve to alienate what few  customers you have left.  Definitely not a good idea and very bad business policy.  P.S. Your Stanford graduate CEO's may also want to rethink about rewarding millions and millions of dollars to groups that destroyed, looted and committed violence in our cities and stores and cost thousands of people their jobs and livelihoods. Call me crazy - just my humble opinion."
2509,0,"My Target store is  11253 Pines Blvd. Pembroke Pines, FL. It has just been renovated and it is absolutely beautiful. The appearance is more of a Macy’s. While shopping with my daughter I was approached by the staff several times and they helped us find what we needed. The prices are the same as Walmart. I was very impressed."
239,0,"I just had another terrible experience at Target with Drive-Up for groceries. To keep this short, and to the point, I sat in my car for 20 minutes while I watched cars, again, drive up, get their groceries and leave. I finally flagged  down one of the employees outside and asked where is my order and this kid, Matthew, said oh, I’m sorry that was me. I thought another girl had your order, so he signed it off. He thought it was funny because he was smiling and thought it was amusing the whole time he was telling me. I went into the store because the ice cream was like mush, and the manager had the same ridiculous attitude as this kid. I am truly done with Target. There are too many other good stores out there where I don’t encounter these repeated problems."
1244,0,"I barely write any review for anything but I have to say that their gift card service is really bad! So I purchased a gift card for almost a month ago and gave it to my sister as a birthday present. But when she used it for the FRIST TIME which is three days ago that also almost a month from the day I purchased the gift card, it said there was NOTHING in the card, even though they already charged me!! So the registration employee told me to go home and call their gift card service number and I did. Then the agent asked me that I have to have a receipt in order for them to check for me! Then he asked me to go back to local Target to ask for the receipt and I did because I already threw the original receipt away! Like seriously? Who’s gonna keep the receipt from a month ago? Then I went back to ask for receipt. I showed them the bank card that I bought the gift card with and provided them a date and even pointed them the self checkout station I used! But they said “Unfortunately we cannot give you any receipt for this! You have to call back to the gift card service to ask!” Then I had to call back to their gift card service! They asked me to tell “my story” again so they can created me a case so I don’t have to tell them what happened again when another agent speaks to me. Then that agent said I have to call back to them early morning tomorrow because their specialists were not currently available. So I had to call them early morning on the next day! Then when a lady picked up she said she would transfer me to guest relations service for me to ask for the receipt, and then I was on the line waiting for them and they just hung up on me! Then I called back, and there was another agent picked up my call and ask me to tell her my story AGAIN!!! even though I gave her my case number already! So I had to tell different employees there my story for 4 or 5 times! And right now that agent told me their guest service received a large volume of calls so I have to call back at 10am later today! Like seriously? You guys make me think throwing a receipt away from a month ago is MY FAULT??? And you guys made me to go back and forth to that local store wasting my gas and wasting my time for waiting for you guys to answer my question with that guest service??? They should have had any backup way to serve their customers!! Each of the employees kept saying “go to here go to there because we can’t do this without this or that” like really? None of you guys would take that responsibility?? So then who can I ask for help?? I guess that I have to accept the fact that I lost my money for no reason!!! I WILL NEVER GO BACK TO TARGET TO PURCHASE ANY GIFT CARD BECAUSE THEIR SERVICE IS REALLY BAD BAD!!!"
1005,0,Target sells crap just like Wal-Mart. Having a Target in your community is a sign that your community is turning to crap.
818,0,"I would not recommend at all baby registry at target. Complicated it to set up, most ppl had a tough time finding it and on top they offer a free gift andits not true. Amazon sent me the free gift home. Target wants you to pick it up at the store and the stores don’t even have the gifts. It’s a waste of time. In addition I ordered a item from my own registry I bought using a gift card and when it arrived home, it was dusty the protective plastic was missing , it was not worthy I had to drive to the store and get me a proper one. Too much hassle when you are pregnant trying to get things ready for the baby!!"
518,0,"Target Age Discrimination Interview Mess Bangor MaineMr, Cornell,During the week of 5/1-5/7 I applied online for a job at the Bangor, Maine Target.  That same week 5/6 I interviewed in person at the store.When I arrived for the interview I was taken to a room in the front of the building.  None of the managers (Amanda, Travis and Brad) in the room knew that I was scheduled to interview that day (Guests Services had scheduled the interview days before).Managers Travis and Brad argued back and forth in front of me about who was going to interview me.  They finally agreed that Travis would conduct the interview.Travis was totally disorganized and uptight during the interview.  He appeared to be going through the motions to get the interview done.  I got the feeling that he disapproved of someone my age and sex applying to be a cashier at Target.During the conversation Travis and I briefly discussed covid 19.  I'm very proud of the fact that I never got covid 19.  I've been very careful during the pandemic and haven't even had a cold or flu for over two years. Travis seemed offended by this and told me he had covid 19 twice. I'm a team player and I communicate well with others.  I have a ton of retail and customer service experience.  I'm college educated and have a fantastic work ethic.  My resume isn't too bad either (attached for you to review).  I'm physically and mentally at the best point in my life.But I'm 61 this week and this tends to be a draw back with corporate America when looking for a job.  I feel that there is a very good chance that I did not get this positions due to my age.  This is an ugly thing to deal with but not uncommon.  Age discrimination is a very common practice in America.  Would you please review this?  I honestly think I've been wronged by Target.  Age discrimination is ugly but I'm finding that it happens all the time with big business.  Youth seems to be all important in all aspects of American life and this includes corporate America. Thank you,Dave Farrar156 Cedar Street Apt#3Bangor, Me. 04401207-904-9963"
33,0,"I have been buying crew socks (gym socks) from Target for 50 years. I’m 74. But after this foolishness regarding  “female” swimsuits with a penis pouch That a dumbass Target employee decided to publicize, I’m voting against this crap by buying my socks from someone else. Will be buying 6-8 pair of socks this week. Congratulations to Target WOKE"
654,0,I have ordered a few times with the Target online packages either come broken contents broken stuff not wrapped in box very unprofessional I would not buy online from Target if you could help it you're running the risk of having problems one of the worst stores I've seen for deliveries yet
904,0,Had the target redcard terrible card to own cut that thing in half if you have one and cancel it.  They did not send notifications or emails when payment was due to get the extra 29 bucks. This company is ran by noting but sleezeballs. #F-Target
134,0,"I have always loved shopping at Target. I’m an interior designer and huge fan of their home goods (PLEASE Chip and Joanna Gaines sell your merchandise elsewhere). However Targets agenda to PUSH the lifestyle of a small group of people really disappoints me. It’s not the LGBTQ people I’m offended by, it’s Targets narrow scope. It’s disappointing that I have to be wary of my kids picking up a CHILDREN’S book that questions their OWN determination of who they already are. If my daughter questions her gender one day I will address it with grace but stop PUSHING an agenda on our littles, creating questions and confusion that doesn’t need to exist. I read an article about how Target is currently removing “some” of their LGBTQ merchandise from their shelves because of customer backlash. Targets spokesperson said the CUSTOMERS are creating a “volatile” environment for their staff because of comments made to them about their LGBTQ merchandise. In my opinion what’s volatile is the pushing of these products on your LARGEST customer base. *****Most recently Target is calling their disappointed consumers “domestic terrorists”. Your words are strong Target, and so are your satanic t-shirts. VERY disgusted in a store I once loved. If we do not stand for what WE believe in, the values we hold dear will only be a “remember when”. Please help prevent that from happening by boycotting Target. Show other retailers that there are consequences when corporations do not consider their biggest audience. If we don’t NOW, we become small and voiceless. Think of your children, grandchildren, great grandchildren….*****"
807,0,I came to Arlington heights target store in Chicago northwest suburbs. My customer service representative was Amy with another girl (unfortunately I forgot her name). They both helped my son with Xbox earphones. It was a great experience. They were very helpful and did everything what was in their power to help me and my son.
226,0,"for the last 3 days, we are trying to place an order on Target but every time it got canceled when I talk to one of the repenstative  said to create a new account and placed an order when I create a new account and place order the order was again canceled and i told to them and they said we can't do anything"
1893,0,"I bought a jacket as there was whole I went to return it they compelled me to take merchandise return card instead of sending to my card saying I must have US official ID, which I don't as I am new to US. I didn't find any jacket of my size in East Lansing and I can't even order online from Target as it has restriction. I contacted customer care they gave this ref no 66801892. However nothing seems to work. Be careful if you ever plan to return with them.  Really disappointed!"
438,0,"So very disappointed in this company, first time purchasing something online from this company and turned out to be very disappointing. Package didn't arrive and although it may not have been Target fault directly they refused to issue a refund. Customer service was extremely rude when inquiring about a refund as if I was trying to be deceitful . I refuse to let someone take my hard earned money. I demand a refund"
227,0,"The staff at target at Gateway are awful and rude. They lack training in basic CS. This is why I have disdain for this store..ugh!  I went to pick up an item and the lady just walked up to me and said nothing. Just pointed the reader at me.  Huh? I asked her a question about the bag charge and she explained it’s just a hold and blah, blah was her tone. She said she takes the hold off. Since she has the power we are doomed!  Her enthusiasm was zero.I was at self checkout and was told you have to purchase bags first then you can pack your items. The young man was shouting to  make sure we all hear?🙄. 🤢  👎🏿👎🏽. Why? What is all this about?"
1985,0,"Don’t do it, they’ll take your money and not deliver"
461,0,"Issues of Target incompetence:I went to try Target online the other day thinking it was delivery. I went through the entire ordering process, paid only to find it was pick up. If it was there at one point indicating the order was pick up before paying, it sure wasn’t obvious and I wouldn’t have made the order. Then ….. the order was split into 2 stores!!!!!! One 20 miles away from me!!!!!!!!Knowing all this, I wanted to cancel the order. No obvious place online to cancel the order.Went to the Target that is closer to me. She said she cancelled the order, but she did not. Also said, I’d have to go to the other store if I wanted to cancel because she couldn’t cancel from her store. Called the 20 mile away Target and she wouldn’t cancel over the phone, said I could do it on the app. OK, went home, tried to cancel on the app. No place to cancel. I had to call.I called customer service and spoke to a woman who was incompetent and hung up on me.Called back, talked to another person, and she did manage to help me get a “gift card” – no refund on my PayPal account (which by the way, is the practice of hundreds of online shopping businesses) – on only one of the purchases. The other “gift card” said “Here’s your new Target eGiftcard”, a refund from your recent order. I went to where it says you got a Target GiftCard link and I downloaded and all I got was a Target logo.Told this woman that, she put me on hold for 10 minutes, came back and told me that she couldn’t do it, that the “gift card” division would have to deal with it. She transferred me, I was on hold for a half hour. Someone FINALLY answered. I explained blow by blow my nightmare experience with Target, I’m into 2 hours now ….. and he had to put me on hold, he said for 5 or 10 minutes.So he figured it out and said he sent the “gift card”, got the email that says you all are working on it. May take up to 4 hours!!!!!!!!!Unbelievable experience. I have been a Target shopper for 50 years. I may never go back again, and if I wanted something from Target I sure won’t get it online because the system is NOT USER FRIENDLY, is DECEPTIVE, and customer service is incompetent except for the last person who helped me out, after at least 45 minutes including the time he has to put me on hold!"
2495,0,"If you are ordering from Target.com - please do yourself a favor, save yourself from disappointment and bad experience!Some items may seem cheaper on their website than the others but do NOT be persuaded.It was my first time ordering online. I rate shopped from various sites and theirs seems cheaper and faster to get delivered. They do not have an option to expedite shipping, too. They will just give you a range and a faster option is to pick it at the nearest store. I chose the option of picking it up in the nearby store. That saves time a little bit.When I placed my order, I made sure that the last date from the range is still on time for the event that we are going. When we actually need it, to give allowance if there's any delay. Comes the next day, I got an email from them that it will be delayed than the initial range and that they haven't charged my card yet. I thought that's fine, we still have time. So I approved that delay.Come's another day, another email I received from them. Guess what? It will be delayed again!!!! way later than the initial range of date posted when I made an order. The main point why we are placing that order in their website in the first place!So I called their customer support - the person that I spoke to, told me, sorry, the reason for the delay is they thought they have it but turns out they have to get it from another facility hence the delay. He's pinning it on the system they have and they can't do anything about it.VERY MISLEADING!!! Why would their system show that its available and provide a range of date when they can't actually deliver!AGAIN. Do NOT order online on their website else you will be the next person writing another negative review with a bad experience. Try Amazon or something else."
1907,0,They sold me Think Thin protein bars that were stale and the chocholate turned white and was chalky and rancid. Looked at expiration date and it was 1 day short of expiration. Wasnt cheap either. 10$ for 8 bars.
130,0,"Jesus Christ is Lord. I will not support a store that buys, promotes, and sells clothing from known satanists. I will never shop at Target again."
2552,0,"I wen to the store over by my house yesterday to buy a game for my daughter. The store was out of stock and it supposedly was the last of a sale ad. Today I drove 14 miles to a store in Fenton, MO. They had one left. The store Manager's and  (Mc Kenzie) declined my request to get it for the sale price from yesterday. even though the other store was out and I had to drive to the other store to get it. I even google searched the Item and it was still showing the ad price from the day before. I am a retail store manager of 30 years and the company's I have worked for have always matched the ad the day after it ended. to take care of the customer standing there with money in hand. makes no sense. Never shopping at another Target again!!!!!!!!!!!!!!!"
182,0,Will never go to Target ever again. Selling evil.
203,0,"I loved Target. It used to be my favorite store to just go in to wander and buy stuff I didn’t need. Well, not anymore. Target used to have the best clothing but they changed so many lines and now I can’t find anything I liked.  Is it me or did Target try to become classy? Why? It totally messed up the store.  I feel like somewhere over the last few years both Target and Kohls went downhill. I find myself liking Walmart so much more. I never thought I would say that.  I used to go to Target weekly, now I go once every few months. Usually when I do go it’s because I want Starbucks.  I just don’t know why anyone would change a good thing. If I wanted a class store I would go to Nordstroms."
1319,0,"I ordered a kitchen table from Target.Com after comparing to other online retailers and basing my decision on good experiences in-store.  This was a huge mistake.  The order was delayed day after day after day and was sitting in the carrier's location for at least a week.  I finally drove to the facility to pick up the package myself (this is over 100lbs).  The package was torn up.  When I got home to unbox it the table was damaged.  I called customer service to file a case and somehow get compensated.  After all I went through, they could not replace the table and only offered a small discount on a table with multiple dents, scratches and holes in it.  Who wants a table that is damaged?  Now it gets better...they have a freight company that is supposed to come to your house for large items in order to get a refund.  The freight company EFW scheduled the pick up for Monday.  No show and no call from them.  I had to contact Target.Com customer service once again.  Luckily, the rep was able to find out what was going on.  Apparently the freight company had no drivers and decided not to contact us after I moved the >100Lb table to my porch as instructed.  The pickup is now pushed out to Friday.  Word to the wise....DO NOT ORDER FURNITURE OR LARGE ITEMS FROM TARGET.COM.  Actually, just stay away from TARGET.COM period."
2377,0,I ordered a bike on target.com dec 6th. They said it would be there the 18th ( which already is way to long) 18th comes and they say it’ll be here by the 22nd. Well no. I spent over an hour complaining and all they can say is sorry here is a 10$ gift card and you’ll just have to wait for it to come. It was a bike for my daughter and now she has nothing to open Christmas morning. I’m beyond mad. Sure I could get a different bike and cancel my order but my kid described to Santa the exact bike and sent in a picture of it with her letter to Santa. She should have to get a different one and 20 days to deliver is ridiculous!!
350,0,"I am an avid Target shopper and I think that will change after my experience today. I consistently by online for Target pick, opt in in lots of their coupon deals and target circle offers and every time they have their offer for receiving  $20, $25, etc. for purchasing a number of qualifying purchase, there is always something wrong with me being able to easily earn my reward. Target is constantly making it difficult for me and I intentionally purchase items to make sure I can get the offer. Tonight was no exception. Called customer service and was given the excuses. I’m tired of supporting a store , spending my hard earned money to fall into this snare constantly. I’m only one, but my consistent orders are not cheap. Target has lost a good customer."
439,0,"Choosing Target was the single most important decision I ever made. I bought a TV from it last week and the quality is very good. The customer service was very patient and informed me in detail about the operating instructions of the TV, I am very satisfied with this purchase. I will continue to support it in the future too！"
2540,0,"This company used , abused me, allowed me to be bullied and spit me out and crazy thing is the girl who was the lead of bullying left the company without finishing one of her shifts this company is jaded and I am disgusted that I ever dedicated the time and energy to a company like Target.I will not shop Target again knowing they allow such bullying and dont stand behind good hard workers"
307,0,"What the h kind of ripoff is this??  I order an item online, it says it was delivered -- to a city an hour away from me -- and the online system says I'm refunded, for $1.99 LESS than what I paid because it charged me for shipping, which I got free shipping because I'm a card holder.  Then the ""chat"" system comes up with a guy to help, but it's literally impossible to type into the screen.  There's no other way to contact them except call during the workday when I'm, uhh, working!! and not taking a break to call about an $11 Target just ripped me off on.  Target has sunk to the level of the big W, just as bad."
96,0,"As a lay consumer at Target.com, I have no reason whatsoever to know of what ""Shipt"" is. When I place an order for ""same-day delivery"" and pay the $9.99 fee, I don't care what apparatus Target uses to tender the delivery to me. Whether you use Shipt, Roadie, DoorDash, or Aunt Franky on her road bike, it doesn't matter to me as a customer. All I know is that it cost $9.99 and I just add tip for the kind human who made the effort.So. When I have a problem with an item or the delivery itself (ANY aspect of the delivery), I should be able to call Target.com and not have the customer service representative claim it's not Target's fault, but rather, it's ""Shipt"" who is the responsible party. Do you expect a lay consumer to open up some boilerplate and sit there and read through what the contours of Target and Shipt's relationship are? Lol, what?I ordered it on TARGET.COM. I transacted business on TARGET.COM. The item was sold by TARGET.COM. I gave my credit card information on TARGET.COM. The order confirmation, completion, and receipts are all from or on TARGET.COM. As a customer, I should be able to call Target.com with an order-related issue and not be told that someone else is responsible. I am not a savvy professional like you guys are. I am just some lady sitting on her couch. How the heck should I know what Shipt is if I ordered it on Target. YOU are ultimately responsible for the order. If there is some internal confusion about which internal entity or partner handles customer support in specific situations, you need to hash that out behind the scenes and not have your own confusion spill out in a REAL customer service context."
2488,0,"Placed an order online for pickup at the Target in Fridley, MN. I waited at the Order Pickup counter for 20  minutes while 5 employees worked on 3 registers at the Returns Counter helping out customers that got there well after I got to the Pickup Counter. Not one employee said a word to me. After being ignored for that long I cancelled the order on the Target App and left. This is not the first time I have had or seen issues at this Target. Their customer service is horrendous."
621,0,I went into target for the first time yesterday was not impressed it was like a overpiced k-mart. The people who worked there are very rude i don't think i will be going back again
2187,0,"Beware of purchasing a smart phone from a Target store in case you have an experience similar to mine. I purchased a new phone and despite declining the insurance program (Square Trade, an Allstate Company, which charges you 10.99 a month to ""protect"" your phone after a $129 deductible per claim), I was told I could not purchase the phone without the Square Trade policy. But I was assured I could easily call and cancel it. I tried to cancel it two days after purchase by calling the number listed on the brochure (1-877-927-7268). I was lead through prompts (#3 = all other calls, #3 to cancel) but each time I tried to cancel, I was told, ""Sorry, I didn't get that."" After 3 attempts, the line disconnects with a, ""Please try your call again later."" I tried my call three times. Finally, I called and used the prompts to get a sales agent, who said she she would cancel the policy for me. I have yet to receive the confirmation email she promised."
547,0,"We attempted to purchase underwear for our child at this location. The prices On the rocks do not match check the prices at checkout. We flagged down an employee  To help, and she told us that the prices on the rack were incorrect, and there was nothing they could do. We would just have to eat the $3 difference, and she didn't  bother to get her manager to help. We went to customer service, and Aida gave us the prices that were indicated on the rack. She saved the experience for us, because I would have put back the merchandise and left on principle alone. Other than this debacle, the experience was excellent."
564,0,"Target.com is a failed business. They are not in any way posed to compete against other online providers like Amazon or Walmart. Their system has no even a cancel order button. If you order something online and changed your mind in a minute (before shipped, to be clear here) you will have to wait until it gets delivered. If you call customer service they also don’t have the ability to cancel. You have to wait until it gets delivered and take it back to their store. They have a lot to do to compete in the todays market."
1161,0,"Normally like Target. However, recently ordered some towels and air freshners. They were all placed in one box but the air freshners were not protected to prevent spraying.  I lost almost half the bottles by this. The box was soaked. USPS is always horrible: the box was broken, busted, and tape ripped. So I was extremely disappointed to see that Target did not have a piece of bubble around the 10 bottles of air freshner to prevent the spraying. I paid for 10 but only received usedable product of 6."
1648,0,"Thank you, Target, for selling the Honey Pot and featuring its beautiful founder in your ad. I'd love to see more products like these featured in your store and your ads. Bravo!"
1192,0,very good customer service. help is good.
